Source	Author	Title	Description	PublishedAt	URL	coding	coverage
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Gastonia, North Carolina"	"Former President Donald Trump speaks to supporters at a rally in Gastonia, North Carolina, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Gastonia, North Carolina appeared first on Breitbart."	2024-11-02T17:13:47Z	https://www.breitbart.com/2024-election/2024/11/02/watch-live-donald-trump-holds-rally-in-gastonia-north-carolina/	Election	Negative
Business Insider	Alex Bitter	McDonald's is the latest election battleground for Trump and Harris	"Presidential candidates have often invoked McDonald's during their runs for the White House, both as a place to eat and as a place to work."	2024-10-21T20:16:05Z	https://www.businessinsider.com/mcdonalds-is-latest-election-battleground-for-trump-and-harris-2024-10	Election	Positive
Fortune	Jason Ma	Prediction markets suddenly shift away from Trump as campaign enters final stretch	"Less than a week ago, Donald Trump looked like a safe bet on prediction markets, but not anymore."	2024-11-03T22:44:27Z	https://fortune.com/2024/11/03/who-will-win-the-election-prediction-markets-donald-trump-collapse-kamala-harris/	Polling	Positive
Fox News	Dan Gainor	Three incredible ways the far-left media helped Trump win again	"Americans voted for Trump because they noticed all the times the supposedly neutral press called Trump ""fascist,"" compared him to Hitler and more."	2024-11-06T07:16:45Z	https://www.foxnews.com/opinion/three-incredible-ways-far-left-media-helped-trump-win-again	Cultural Impact	Neutral
Business Insider	Alice Tecotzky	I spent a day talking to voters in a crucial swing county in Pennsylvania. It's clear the economy is make-or-break for Harris and Trump alike.	Voters talked about inflation concerns more than anything else. Their answers reinforced how much the cost of every-day goods will impact the election.	2024-10-18T15:45:37Z	https://www.businessinsider.com/pennsylvania-grocery-store-voters-talk-economy-inflation-harris-trump-2024-10	Polling	Neutral
Newsweek		List of World Leaders Congratulating Donald Trump	The leaders of the UK and Israel were amongst the first to congratulate Donald Trump on becoming President.	2024-11-06T12:19:34Z	https://www.newsweek.com/full-list-world-leaders-congratulating-donald-trump-1981224	Cultural Impact	Negative
Buzzfeed	Matt Stopera	People Are Loving Tim Walz's Extremely Petty Reason For Not Voting For Donald Trump	"Well, that's certainly a reason.View Entire Post ›"	2024-11-04T19:35:23Z	https://www.buzzfeed.com/mjs538/tim-walz-petty-trump-quote	Cultural Impact	Negative
Associated Press	By WILL WEISSERT Associated Press	Donald Trump's transition starts now. Here's how it will work	Donald Trump has a 75-day transition period to build out his team before Inauguration Day on Jan. 20. Here's what to expect.	2024-11-07T13:30:00Z	https://apnews.com/article/presidential-transition-how-it-works-trump-biden-f9a5f4367fbc9a6a208f47ff3e25538d	Election	Positive
Slashdot.org	BeauHD	Trump Says Tim Cook Called Him To Complain About the EU	An anonymous reader quotes a report from The Verge: Donald Trump said Apple CEO Tim Cook called him to discuss the billions of dollars that Apple has been fined in the European Union. Trump made the statement during his appearance on the PBD Podcast -- and sa…	2024-10-18T03:30:00Z	https://apple.slashdot.org/story/24/10/17/2323239/trump-says-tim-cook-called-him-to-complain-about-the-eu	Policies	Negative
New York Magazine	Jonathan Chait	Is Calling Trump Fascist an Insult to Trump Voters?	"Conservatives are arguing that calling Donald Trump a fascist, as former Trump staffers like General Milley and John Kelly have done, insults people who want to vote for him."	2024-10-23T17:22:20Z	http://nymag.com/intelligencer/article/is-calling-trump-fascist-an-insult-to-trump-voters.html	Cultural Impact	Neutral
Time	Solcyré Burga	What a Trump or Harris Win Could Mean for Student Loan Forgiveness	Neither Vice President Kamala Harris or former President Donald Trump have laid out clear policy plans regarding student loans.	2024-10-18T20:18:18Z	https://time.com/7095067/trump-harris-win-student-loan-forgiveness/	Policies	Negative
CBS News	"Caitlin Yilek, Melissa Quinn"	Supreme Court rejects RFK Jr.'s bids to have his name removed from Michigan and Wisconsin ballots	Robert F. Kennedy suspended his longshot presidential campaign in August and endorsed former President Donald Trump.	2024-10-29T20:52:06Z	https://www.cbsnews.com/news/kennedy-supreme-court-ballot-michigan-wisconsin/	Election	Neutral
NBC News	Elizabeth Robinson	Trump and allies spread false noncitizen voting claims and World Series preview: Morning Rundown	Donald Trump and his allies are spreading a new “big lie” ahead of Election Day.	2024-10-25T11:06:04Z	https://www.nbcnews.com/news/trump-noncitizen-voting-world-series-dogers-yankees-monring-rundown-rcna177220	Cultural Impact	Neutral
Slate Magazine	Heather Schwedel	Donald Trump’s New Inception Hat Has Made Hats Great Again	What an arresting postmodern commentary!	2024-10-18T20:22:37Z	https://slate.com/culture/2024/10/donald-trump-president-2024-maga-hat.html	Cultural Impact	Neutral
New York Magazine	Margaret Hartmann	Ivanka Subtweets Trump With Wellness Advice on Election Eve	Ivanka Trump subtweeted her dad with wellness advice on Election Day. The only reason for Ivanka to post a long birthday message days after turning 43 is to emphasize that she’s not thinking about the Donald Trump campaign.	2024-11-04T23:27:44Z	http://nymag.com/intelligencer/article/ivanka-subtweets-trump-birthday-post-election-news.html	Cultural Impact	Negative
The Verge	The Verge Staff	The Verge’s guide to the 2024 presidential election	Vice President Kamala Harris is taking on former President Donald Trump. The election will determine the future of everything from electric cars to the entire legal system to to our democracy itself.	2024-10-29T13:43:57Z	https://www.theverge.com/24279527/2024-presidential-election-guide-tech-policy	Election	Neutral
Fox News	Greg Norman	House Democrat says the party needs to get past 'Trump Derangement Syndrome'	"A House Democrat tells Axios that their party needs to move beyond ""Trump Derangement Syndrome"" as President-elect Donald Trump is returning to Washington."	2024-11-07T17:36:46Z	https://www.foxnews.com/politics/house-democrat-says-party-needs-get-past-trump-derangement-syndrome	Election	Negative
Yahoo Entertainment		Critics Trash Donald Trump Jr. And Eric Trump For 'On The Nose' Halloween Costumes		2024-11-01T09:29:28Z	https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5b2c6178-7f9f-4b55-9a82-f23cfd44006f	Cultural Impact	Neutral
NBC News	Sarah Fitzpatrick	Stacey Williams goes public with her allegations against Donald Trump	"Thirty-one years after Stacey Williams says she was groped by Donald Trump while Jeffrey Epstein watched, the 56-year-old writer, consultant and former Sports Illustrated swimsuit model went public this week with her allegation."	2024-10-25T02:42:53Z	https://www.nbcnews.com/news/stacey-williams-goes-public-allegations-donald-trump-rcna177172	Cultural Impact	Negative
BBC News	Iain Carter	Trump and Musk can bring peace to golf - McIlroy	"Donald Trump's return to the White House can help pave the way for peace in golf's 'civil war', says four-time major champion Rory McIlroy."	2024-11-06T12:30:05Z	https://www.bbc.com/sport/golf/articles/cwyxq53jx5no	Cultural Impact	Negative
New York Magazine	Jeff Wise	How Trump Goes to Prison	"If Donald Trump is defeated by Kamala Harris in the election next week, he faces four criminal cases in New York, Georgia, Florida, and Washington, D.C., all of them carrying prison time."	2024-10-29T09:00:49Z	http://nymag.com/intelligencer/article/trump-prison-election.html	Legal Issues	Negative
NPR	Asma Khalid	Harris is reaching out to Republicans. Some progressives feel left behind	Vice President Harris has been campaigning with Republicans disaffected with former President Donald Trump. But some progressive voters aren’t loving the strategy.	2024-10-27T10:00:00Z	https://www.npr.org/2024/10/27/nx-s1-5085735/kamala-harris-progressives	Election	Neutral
Gizmodo.com	Matt Novak	Why Are Trump Supporters Suddenly Freaked Out About Deepfakes?	"Trump has previously called real videos of himself doing something embarrassing ""fake"" or AI."	2024-10-23T21:34:14Z	https://gizmodo.com/why-are-trump-supporters-suddenly-freaked-out-about-deepfakes-2000515776	Cultural Impact	Negative
Business Insider	ktangalakislippert@businessinsider.com (Katherine Tangalakis-Lippert)	Marc Andreessen and Ben Horowitz each donated $2.5 million to a pro-Donald Trump super PAC	"Marc Andreessen and Ben Horowitz each donated $2.5 million to ""Right for America,"" a pro-Donald Trump super PAC, according to FEC filings."	2024-10-16T02:40:02Z	https://www.businessinsider.com/marc-andreessen-ben-horowitz-donated-millions-pro-trump-pac-2024-10	Election	Neutral
Time	Charlotte Alter	Harris Intensifies Pitch to Disaffected Republicans	The Vice President thinks there are enough conservatives with doubts about Trump that winning them over could be swing a tight election	2024-10-17T16:21:30Z	https://time.com/7093796/harris-republican-outreach/	Election	Neutral
Newsweek	Aila Slisco	Donald Trump Triples Lead with Male Voters	A new poll shows Trump leading Harris by 9 percentage points among men in this year's presidential election.	2024-10-23T22:41:33Z	https://www.newsweek.com/donald-trump-triples-lead-male-voters-1973941	Polling	Neutral
New York Magazine	Nia Prater	Trump Starts Assaulting Election Integrity in Pennsylvania	Donald Trump is promoting claims of election interference in the key battleground state of Pennsylvania and is reportedly suing Bucks County over long lines for voters.	2024-10-30T16:20:32Z	http://nymag.com/intelligencer/article/trump-starts-assaulting-election-integrity-in-pennsylvania.html	Election	Neutral
Fox News	"Kurt Knutsson, CyberGuy Report"	Deception in democracy: Beware the most common types of election-related scams	Cybersecurity risks are ramping up as the Nov. 5 U.S. general election approaches. Social media and the internet are used to spread propaganda.	2024-10-23T14:00:44Z	https://www.foxnews.com/tech/deception-democracy-beware-most-common-types-election-related-scams	Cultural Impact	Neutral
Gizmodo.com	Matt Novak	"Jeffrey Epstein Had Photos of Donald Trump With ‘Young Girls,’ Reporter Claims"	"Michael Wolff, author of a 2018 book on Trump, made the claim on his podcast 'Fire and Fury.'"	2024-11-01T19:20:19Z	https://gizmodo.com/jeffrey-epstein-had-photos-of-donald-trump-with-young-girls-reporter-claims-2000519590	Cultural Impact	Neutral
ABC News	"Katherine Faulders, Alexander Mallin, Peter Charalambous"	Unsealing of filing offers limited look at evidence in Jan. 6 case against Trump	The judge overseeing Donald Trump's election interference case has unsealed a highly redacted filing offering a limited look at the evidence amassed by Jack Smith's team.	2024-10-18T17:39:04Z	https://abcnews.go.com/US/unsealing-redacted-filing-offers-limited-evidence-jan-6/story?id=114928658	Legal Issues	Neutral
USA Today	"Bart Jansen, Josh Meyer and Aysha Bagchi, USA TODAY"	"New evidence unsealed of how Trump's Jan. 6, 2021 rally was funded"	"A 1,900-page trove of evidence released in Donald Trump's election interference case shows how he paid supporters to attend his rally Jan. 6, 2021."	2024-10-18T18:45:57Z	https://www.usatoday.com/story/news/politics/elections/2024/10/18/donald-trump-election-interference-case-new-evidence/75714784007/	Legal Issues	Neutral
CBC News		Exonerated Central Park Five sue Donald Trump for 'demonstrably false' debate remarks	The men formerly known as the Central Park Five before they were exonerated filed a defamation lawsuit against U.S. Republican presidential nominee Donald Trump on Monday.	2024-10-21T17:39:47Z	https://www.cbc.ca/news/world/central-park-five-sue-trump-1.7358302	Legal Issues	Neutral
HuffPost	Lee Moran	Bob Woodward Nails Alarming Donald Trump Trait That Cost Him 2020 Election ‘Landslide’	"“I think that encapsulates a lot,” Stephen Colbert agreed with the famed journalist."	2024-10-18T12:01:21Z	https://www.huffpost.com/entry/bob-woodward-donald-trump-2020-election_n_67123c9de4b08d7bcf68f787	Cultural Impact	Neutral
USA Today	"Michael Collins, USA TODAY"	Who's in? Who's out? The cast of characters who could end up in Trump's new administration	Donald Trump has a long list of familiar faces who are ready to serve in his new administration. Others aren’t interested.	2024-11-06T19:37:56Z	https://www.usatoday.com/story/news/politics/elections/2024/11/06/donald-trump-administration-options-outlook/76090491007/	Cultural Impact	Negative
ABC News	"Soo Rin Kim, Lalee Ibssa, Kelsey Walsh, Sarah Beth Hensley"	"Trump again questions Harris' racial, ethnic identity in podcast interview"	Former President Donald Trump once again falsely questioned Vice President Kamala Harris' racial and ethnic identity during an interview.	2024-10-17T23:10:50Z	https://abcnews.go.com/Politics/trump-questions-harris-racial-ethnic-identity-podcast-interview/story?id=114906094	Election	Neutral
Financial Post	Bloomberg News	"With Trump Win Boosting Stocks, Investors Hunt for Next Winners"	"For investors looking past the initial risk-on rally in US equities following Donald Trump’s decisive election victory, now comes the hard part."	2024-11-10T14:20:12Z	https://financialpost.com/pmn/business-pmn/with-trump-win-boosting-stocks-investors-hunt-for-next-winners	Economy	Neutral
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Detroit, Michigan"	"Former President Donald Trump speaks to supporters at a rally in Detroit, Michigan, on Friday, October 18.
The post Watch Live: Donald Trump Holds Rally in Detroit, Michigan appeared first on Breitbart."	2024-10-18T23:47:25Z	https://www.breitbart.com/2024-election/2024/10/18/watch-live-donald-trump-holds-rally-in-detroit-michigan/	Election	Neutral
Breitbart News	"Sean Moran, Sean Moran"	Donald Trump Projected to Win Kentucky	"Former President Donald Trump beat Vice President Kamala Harris in the Bluegrass State, according to projections.
The post Donald Trump Projected to Win Kentucky appeared first on Breitbart."	2024-11-06T00:11:12Z	https://www.breitbart.com/politics/2024/11/05/donald-trump-projected-to-win-kentucky/	Polling	Neutral
CBS News	Caroline Linton	Here's where Donald Trump and Kamala Harris stand on guns	Guns have long been a polarizing issue in America — here's where Trump and Harris stand on the issue.	2024-10-23T21:03:11Z	https://www.cbsnews.com/news/trump-harris-guns-2024/	Election	Neutral
Newsweek	Marie Boran	Why Is Elon Musk Supporting Donald Trump?	"In July, SpaceX CEO Elon Musk officially endorsed Donald Trump as his choice for the next U.S. president. What have they got in common?"	2024-10-25T18:08:30Z	https://www.newsweek.com/why-elon-musk-supporting-donald-trump-1974146	Election	Negative
Associated Press	By ERIC TUCKER - Associated Press	Intelligence officials say video falsely depicting voter fraud in Georgia linked to Russia	"U.S. intelligence officials say a video that purports to show election fraud in Georgia by a man who claims to be from Haiti is fake and the work of “Russian influence actors."""	2024-11-01T18:15:00Z	https://apnews.com/article/fbi-russia-georgia-fraud-disinformation-eebea4ab200682ccd3e97fb9f164e6ca	Legal Issues	Neutral
Time	Simmone Shah	All the Celebrities Hitting the Trail for Harris and Trump	"With just over a week until Election Day on Nov. 5, celebrities are continuing to hit the campaign trail in swing states."	2024-10-25T19:27:44Z	https://time.com/7098928/celebrities-hitting-the-trail-for-harris-trump/	Cultural Impact	Neutral
BBC News		How this US election could change state of the world	Our chief international correspondent Lyse Doucet hears from leading experts about what's at stake ahead of the vote.	2024-10-29T12:07:29Z	https://www.bbc.com/news/articles/cgl490zrz45o	Cultural Impact	Negative
BBC News		"'I'm not a one-issue voter, but this is huge': Abortion decided these women's votes"	"It is the first presidential election since the top court overturned Roe v Wade, which protected the nationwide right to an abortion."	2024-10-30T09:13:30Z	https://www.bbc.com/news/articles/cew2x50808go	Cultural Impact	Neutral
NPR	Obed Manuel	Pennsylvania voters are complicated. We drove around the state to talking to them	Two Morning Edition teams drove hundreds of miles around the state to gauge how residents in this critical swing state feel about VP Harris and former President Donald Trump. Here’s what they told us.	2024-10-28T09:00:00Z	https://www.npr.org/2024/10/28/g-s1-30043/harris-trump-election-pennsylvania-voters-swing-state	Polling	Negative
TechCrunch	Marina Temkin	Tech leaders recommend colleagues for Trump’s cabinet | TechCrunch	Some tech investors and executives have been trying to influence the incoming Trump administration to appoint Silicon Valley insiders for cabinet	2024-11-14T23:57:42Z	https://techcrunch.com/2024/11/14/tech-leaders-recommend-colleagues-for-trumps-cabinet/	Cultural Impact	Negative
CBC News		Biden tries to clarify confusing 'garbage' comments as Trump and his supporters cry foul	"U.S. President Joe Biden's supposed attempt to call out racist remarks by a speaker at a campaign rally for Donald Trump backfired as Trump and other Republicans accused him of calling their supporters ""garbage."""	2024-10-30T11:56:59Z	https://www.cbc.ca/news/world/biden-garbage-comments-1.7367634	Election	Neutral
Business Insider	Daniel Cox	All the single ladies are voting for Kamala	Unmarried women make up a whopping 25% of the electorate. That's bad news for Donald Trump.	2024-10-16T09:31:01Z	https://www.businessinsider.com/single-women-political-power-voting-kamala-harris-election-2024-10	Polling	Positive
CBC News		Joe Biden to make 1st address after devastating election results for Democrats	"U.S. President Joe Biden is set to deliver an address Thursday about the election results, his first comments since Donald Trump defeated Vice-President Kamala Harris in the election and the Republicans retook control of the Senate, coming into effect in Janu…"	2024-11-01T08:11:21Z	https://www.cbc.ca/news/world/us-biden-election-remarks-1.7376446	Election	Neutral
Associated Press	LISA MASCARO and LOLITA C. BALDOR Associated Press	"Trump asks Rep. Mike Waltz, China hawk, to be his national security adviser"	"President-elect Donald Trump has asked U.S. Rep. Michael Waltz, a retired Army National Guard officer, to be his national security adviser, a person familiar with the matter says."	2024-11-12T03:15:00Z	https://apnews.com/article/trump-national-security-adviser-mike-wlatz-0c81d044c9ffe18dfd745202e8351b9c	Election	Neutral
TechCrunch	Kyle Wiggers	Elon Musk skipped a hearing in Philly about his super PAC's payouts to voters | TechCrunch	Elon Musk skipped a hearing in Philly about his super PAC's plan to continue awarding voters $1 million per day for signing a petition.	2024-11-01T02:03:32Z	https://techcrunch.com/2024/10/31/elon-musk-skipped-a-hearing-in-philly-about-his-super-pacs-payouts-to-voters/	Election	Negative
New York Magazine	Ed Kilgore	The Resurrection of Donald Trump	"Donald Trump is on the brink of a successful comeback against Kamala Harris after defeat and disgrace is unprecedented. He has not only imposed his will on his party, but has convinced a remarkable number of Americans to accept his many lies."	2024-11-05T10:00:48Z	http://nymag.com/intelligencer/article/donald-trump-election-comeback.html	Election	Positive
CBS News	CBS News	Trump hits three battleground states	"Former President Donald Trump held campaign events in Pennsylvania, North Carolina and Georgia on Sunday. Nikole Killion reports."	2024-11-04T00:58:00Z	https://www.cbsnews.com/video/trump-hits-three-battleground-states/	Election	Neutral
Business Insider	Brent D. Griffiths	Mark Cuban will campaign for Kamala Harris in 3 key swing states	Billionaire Mark Cuban will appear on Kamala Harris' behalf in three swing states by the end of the week.	2024-10-17T18:04:39Z	https://www.businessinsider.com/kamala-harris-mark-cuban-campaign-swing-states-sec-chair-2024-10	Election	Neutral
Newsweek	Flynn Nicholls	Donald Trump Becoming 'More Rambling'—Maggie Haberman	"In an interview with Bloomberg on Tuesday, Trump's answers often wandered far from the original questions."	2024-10-16T13:17:13Z	https://www.newsweek.com/donald-trump-becoming-more-rambling-maggie-haberman-1969883	Cultural Impact	Neutral
Wired	Makena Kelly	"Ahead of the Election, Social Media Platforms Have Given Up"	"If you thought 2020 was bad, decisions from Big Tech and the US government have led to an internet that’s even worse off."	2024-10-31T11:00:00Z	https://www.wired.com/story/tech-companies-abdicated-responsibility-for-their-platforms/	Cultural Impact	Neutral
Newsweek	Maya Mehrara	Donald Trump Accuses Bruce Springsteen of 'Betrayal'	The former president has accused Springsteen of not supporting working class voters by endorsing Kamala Harris and performing at her rally.	2024-10-25T12:00:15Z	https://www.newsweek.com/donald-trump-responds-bruce-springsteen-harris-walz-endorsement-rally-1974811	Cultural Impact	Negative
Fortune	Ryan Hogg	Danish renewables giant Orsted leads wind energy selloff as Donald Trump’s claims over ‘crazy’ whales come back to bite	"Donald Trump has attacked Orsted and offshore wind, claiming it kills whales."	2024-11-06T12:29:42Z	https://fortune.com/europe/2024/11/06/danish-renewables-orsted-wind-energy-donald-trump-crazy-whales/	Cultural Impact	Negative
ABC News	Emily Chang	College students in swing states could make an impact with registration decisions	Kamala Harris and Donald Trump are working to court young voters -- some of whom may have switched their voter registration to cast ballots in their college towns.	2024-10-21T18:06:05Z	https://abcnews.go.com/Politics/college-students-battleground-states-make-election-impact-registration/story?id=114725305	Election	Neutral
Fortune	"Brooke Seipel, Amanda Gerut"	Kamala Harris officially concedes to Donald Trump: ‘Please know it’s going to be OK’	Harris says she spoke with Trump and congratulated him on his election win.	2024-11-06T21:53:15Z	https://fortune.com/2024/11/06/kamala-harris-full-concession-speech-watch-donald-trump-2024-election/	Election	Negative
Slashdot.org	BeauHD	Trump's Coin Sale Misses Early Targets As Crypto Project's Website Crashes	"Donald Trump's new crypto project, World Liberty Financial, had a rocky start today with frequent website outages during its token sale. According to CNBC, only about 4% of registered investors have bought tokens, and the project sold less than 3% of the 20 b…"	2024-10-16T00:10:00Z	https://slashdot.org/story/24/10/15/2316216/trumps-coin-sale-misses-early-targets-as-crypto-projects-website-crashes	Economy	Neutral
BBC News		Our undecided US voters have (mostly) made up their minds. Who are they backing?	The BBC speaks again to a group who have struggled to pick between Kamala Harris and Donald Trump.	2024-11-04T10:53:40Z	https://www.bbc.com/news/articles/c7484kwl55qo	Polling	Neutral
NPR	Scott Detrow	Why are some Evangelicals drawn to — and sticking by — Trump? This pastor weighs in	"NPR sits down with North Carolina pastor Chad Harvey to talk about Donald Trump, religion and politics."	2024-10-30T09:00:00Z	https://www.npr.org/2024/10/29/nx-s1-5165535/trump-christians-evangelical-harris-support	Cultural Impact	Neutral
Breitbart News	"John Nolte, John Nolte"	Nolte: Politico Stops Hiding Desire to See Donald Trump Assassinated	"Nolte: Far-left Politico, a blog dedicated to disinformation and lies, is no longer hiding its desire to see former President Donald Trump assassinated.
The post Nolte: Politico Stops Hiding Desire to See Donald Trump Assassinated appeared first on Breitbart."	2024-10-21T17:46:11Z	https://www.breitbart.com/the-media/2024/10/21/nolte-politico-stops-hiding-desire-see-donald-trump-assassinated/	Cultural Impact	Negative
Yahoo Entertainment	Reuters	Trump transition distances itself from Ukraine peace plan outlined by Republican strategist	"WEST PALM BEACH, Florida (Reuters) -Donald Trump's presidential transition effort said on Saturday that a Republican operative who outlined some potential..."	2024-11-09T17:30:19Z	https://ca.news.yahoo.com/trump-adviser-says-priority-ukraine-173019059.html	Election	Negative
Time	Brian Bennett	‘Pro-Life’ Liz Cheney Explains Why Her Fellow Republicans Should Back Harris	"During her time representing Wyoming in Congress, Liz Cheney held an “A” rating for her voting record from a leading anti-abortion group, Susan B. Anthony Pro-life America. Before leaving the Senate to become Vice President, Kamala Harris scored an “F.”  But …"	2024-10-21T19:46:36Z	https://time.com/7095695/kamala-harris-liz-cheney-abortion/	Cultural Impact	Negative
The New Yorker	Jennifer Egan	Canvassing for Kamala Harris in Pennsylvania	Jennifer Egan writes about going door to door in Philadelphia and Allentown before the 2024 election in order to rally support for the Democrat in her campaign against Donald Trump.	2024-11-09T11:00:00Z	https://www.newyorker.com/magazine/dispatches/canvassing-for-kamala-harris-in-pennsylvania	Polling	Positive
CBS News	Kerry Breen	When will Trump take office as president? Here's when he'll be sworn in	Here's what to know about when President-elect Donald Trump will be sworn in to office.	2024-11-06T15:00:11Z	https://www.cbsnews.com/news/when-will-trump-be-sworn-in-2024-election/	Election	Neutral
Gizmodo.com	Matthew Gault	"With Putin Calls, It’s More Clear Than Ever That Elon Musk Is a National Security Threat"	The billionaire has been chatting with Russia's authoritarian leader for years while he stumps for Trump and commands huge government contracts.	2024-10-25T15:46:45Z	https://gizmodo.com/with-putin-calls-its-more-clear-than-ever-that-elon-musk-is-a-national-security-threat-2000516544	Election	Neutral
Fortune	Alena Botros	Mark Cuban admits defeat to Donald Trump and Elon Musk	"Cuban congratulated Donald Trump and Elon Musk, but the race hasn’t even been called."	2024-11-06T07:10:16Z	https://fortune.com/2024/11/06/mark-cuban-kamala-harris-donald-trump-elon-musk/	Cultural Impact	Neutral
Fortune	Chloe Berger	Mark Cuban says Donald Trump is not Kamala Harris’ main rival anymore—it’s Elon Musk	Billionaire investor calls out Elon Musk for his oversized role in the Trump vs Harris presidential race.	2024-10-23T14:28:36Z	https://fortune.com/2024/10/23/elon-musk-trump-harris-election-billioniare-backing-cuban/	Election	Negative
Fortune	"Chris Megerian, Will Weissert, The Associated Press"	"Kamala Harris keeps focus on ‘Blue Wall’ states of Pennsylvania, Michigan and Wisconsin as election draws near"	"The vice president campaigned at a hockey rink in Erie, Pennsylvania, where she denounced Republican candidate Donald Trump as “unhinged.”"	2024-10-17T08:17:18Z	https://fortune.com/2024/10/17/kamala-harris-blue-wall-states-us-election/	Election	Neutral
Wired	Makena Kelly	A Running List of the Tech CEOs Donald Trump Claims Are Calling Him to Suck Up	"Some of the most powerful people in Silicon Valley appear to be quietly sitting out the presidential election cycle. But Trump says that in private, it's a different story."	2024-10-28T18:08:54Z	https://www.wired.com/story/tech-ceos-trump-claims-are-courting-him/	Economy	Neutral
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Henderson, Nevada"	"Former President Donald Trump speaks to supporters at a rally in Henderson, Nevada, on Thursday, October 31.
The post Watch Live: Donald Trump Holds Rally in Henderson, Nevada appeared first on Breitbart."	2024-10-31T23:11:45Z	https://www.breitbart.com/2024-election/2024/10/31/watch-live-donald-trump-holds-rally-in-henderson-nevada/	Election	Positive
Financial Post	Bloomberg News	Credit Market Risk Falls Sharply As Trump Closes In on Win	International credit markets are sending some bullish signals as Donald Trump looks set to win the US presidential election.	2024-11-06T08:59:52Z	https://financialpost.com/pmn/business-pmn/credit-market-risk-falls-sharply-as-trump-closes-in-on-win	Economy	Negative
Business Insider	Natalie Musumeci	"Trump judge releases 1,889 pages of additional election interference evidence against the former president"	The unsealing of the documents comes after Donald Trump failed in a final attempt to delay the release until after the presidential election.	2024-10-18T15:06:42Z	https://www.businessinsider.com/donald-trump-judge-release-additional-evidence-election-interference-case-2024-10	Election	Negative
Gizmodo.com	Matt Novak	Trump Supporters’ Fake Stories About Harris and Walz Flood the ‘For You’ Page on X	X has truly become a garbage heap since Trump donor Elon Musk bought the site.	2024-10-21T20:10:02Z	https://gizmodo.com/trump-supporters-fake-stories-about-harris-and-walz-flood-the-for-you-page-on-x-2000514522	Cultural Impact	Negative
TMZ	TMZ Staff	Stars and Scars -- You Be the Judge	"Donald Trump has not only made heads turn with some of his cabinet noms, he's made some spin! So we gotta ask ..."	2024-11-16T08:45:16Z	https://www.tmz.com/2024/11/16/polls-you-be-the-judge/	Cultural Impact	Neutral
TMZ	TMZ Staff	"Dana White Says Donald Trump, Conor McGregor Received Loudest Ovations Ever"	"The UFC has no shortage of star power at its events -- in and out of the Octagon -- so, who's gotten the loudest pop from the crowd?! Dana White has an answer. ""When you think about fighter walkouts, whenever a fighter walks out to the [Octagon]…"	2024-11-16T08:50:58Z	https://www.tmz.com/2024/11/16/dana-white-donald-trump-conor-mcgregor-loudest-ovation-ufc/	Cultural Impact	Positive
Business Insider	"Noah Lewis,Lilian Manansala"	"How the US voted in every election, from George Washington to Donald Trump"	Maps show us how the US states have voted over time in 60 presidential elections — and who have been the winners and losers along the way.	2024-11-15T15:56:34Z	https://www.businessinsider.com/election-president-states-vote-trump-harris-biden-electoral-college-history-2024-11	Polling	Neutral
NPR	Elena Moore	Trump picks Karoline Leavitt to be youngest White House press secretary in history	"Leavitt will be the youngest person to ever hold the job and is expected to deliver press briefings based on Trump's statement late Friday that he has ""utmost confidence she will excel at the podium."""	2024-11-15T23:57:15Z	https://www.npr.org/2024/11/15/g-s1-34514/trump-karoline-leavitt-press-secretary-white-house-spokesperson	Election	Neutral
Wired	Angela Watercutter	‘I'm Going to Bluesky’ Is the New ‘I’m Moving to Canada’	Users frustrated with Elon Musk’s handling of X and closeness to president-elect Donald Trump are fleeing to Bluesky—an easier migration than leaving the US.	2024-11-15T12:00:00Z	https://www.wired.com/story/im-going-to-bluesky-is-the-new-im-moving-to-canada/	Cultural Impact	Positive
Time	Brian Bennett	‘We Are Reeling’: Trump’s Pick of Tulsi Gabbard Alarms Intelligence Community	"Some intelligence officials are considering whether to resign if Tulsi Gabbard is their new boss. 'We are reeling,' says one official."	2024-11-15T11:00:00Z	https://time.com/7176696/gabbard-russia-connection-trump-intelligence/	Cultural Impact	Positive
NPR	Kirk Siegler	Trump picks North Dakota Gov. Doug Burgum to lead the Interior Department	Burgum ran in the 2024 Republican presidential primary. He then became a vocal supporter of Preesident-elect Donald Trump and was shortlisted for the GOP vice presidential nomination.	2024-11-15T02:50:23Z	https://www.npr.org/2024/11/14/g-s1-34190/trump-interior-department-doug-burgum-north-dakota-governor	Election	Positive
NPR	Shannon Bond	What's behind defense secretary pick Hegseth's war on 'woke'	The selection of Fox News host Pete Hegseth to lead the Trump Defense Department has renewed scrutiny of his political and religious views and his aggressive criticism of the military he would be leading.	2024-11-15T10:00:00Z	https://www.npr.org/2024/11/14/nx-s1-5191941/pete-hegseth-defense-department-dei	Election	Neutral
